# Constructed from biom file
#OTU ID	k__Archaea;p__Euryarchaeota	k__Bacteria;p__Acidobacteria	k__Bacteria;p__Actinobacteria	k__Bacteria;p__Armatimonadetes	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Chloroflexi	k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Elusimicrobia	k__Bacteria;p__Firmicutes	k__Bacteria;p__Fusobacteria	k__Bacteria;p__Gemmatimonadetes	k__Bacteria;p__Ignavibacteriae	k__Bacteria;p__Lentisphaerae	k__Bacteria;p__Planctomycetes	k__Bacteria;p__Proteobacteria	k__Bacteria;p__Saccharibacteria	k__Bacteria;p__Synergistetes	k__Bacteria;p__Tenericutes	k__Bacteria;p__Thermotogae	k__Bacteria;p__Verrucomicrobia	k__Bacteria;p__WWE3
ERR1072656	0.0	0.0	15.0	0.0	4876.0	0.0	1.0	0.0	4380.0	0.0	0.0	0.0	0.0	0.0	10672.0	0.0	0.0	17.0	0.0	39.0	0.0
ERR2057221	0.0	0.0	421.0	0.0	8724.0	0.0	0.0	0.0	10287.0	0.0	0.0	0.0	0.0	0.0	563.0	0.0	0.0	1.0	0.0	4.0	0.0
ERR2057173	0.0	0.0	91.0	0.0	9976.0	0.0	0.0	0.0	9325.0	0.0	0.0	0.0	0.0	0.0	608.0	0.0	0.0	0.0	0.0	0.0	0.0
GILSM.10	1.0	0.0	32.0	1.0	10725.0	0.0	1.0	0.0	5412.0	3.0	0.0	1.0	0.0	3.0	3800.0	0.0	0.0	21.0	0.0	0.0	0.0
ERR2057211	0.0	0.0	81.0	0.0	284.0	0.0	6.0	0.0	2304.0	0.0	0.0	0.0	0.0	0.0	17325.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR2057154	0.0	0.0	300.0	0.0	2511.0	0.0	6.0	0.0	16441.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0	0.0	665.0	0.0	0.0	0.0
ERR2057202	0.0	0.0	11.0	0.0	5820.0	0.0	0.0	0.0	5367.0	131.0	0.0	0.0	0.0	0.0	7417.0	0.0	0.0	1.0	0.0	1253.0	0.0
ERR2057155	0.0	0.0	390.0	0.0	5429.0	0.0	0.0	0.0	13475.0	0.0	0.0	0.0	0.0	0.0	705.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR2057175	0.0	0.0	251.0	0.0	3394.0	0.0	7.0	0.0	14839.0	0.0	0.0	0.0	0.0	0.0	110.0	0.0	0.0	25.0	0.0	1374.0	0.0
ERR2057225	0.0	0.0	509.0	0.0	6302.0	0.0	0.0	0.0	12885.0	0.0	0.0	0.0	0.0	0.0	303.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR2057159	0.0	0.0	83.0	0.0	6847.0	0.0	0.0	0.0	12827.0	0.0	0.0	0.0	0.0	0.0	243.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR2057161	0.0	0.0	440.0	0.0	3033.0	0.0	0.0	0.0	16198.0	1.0	0.0	0.0	0.0	0.0	303.0	0.0	0.0	0.0	0.0	25.0	0.0
ERR2057178	0.0	0.0	105.0	0.0	8199.0	0.0	3.0	0.0	11489.0	0.0	0.0	0.0	0.0	0.0	170.0	0.0	0.0	0.0	0.0	34.0	0.0
GILSM.1	0.0	0.0	314.0	0.0	4546.0	0.0	189.0	0.0	14454.0	2.0	1.0	0.0	0.0	0.0	490.0	4.0	0.0	0.0	0.0	0.0	0.0
GILSM.16	0.0	0.0	4050.0	0.0	4398.0	0.0	0.0	0.0	10934.0	42.0	0.0	0.0	0.0	0.0	573.0	3.0	0.0	0.0	0.0	0.0	0.0
GILSM.3	0.0	1.0	163.0	0.0	10798.0	1.0	2.0	0.0	8595.0	0.0	0.0	0.0	0.0	0.0	438.0	0.0	0.0	0.0	1.0	1.0	0.0
ERR1072633	1.0	0.0	973.0	0.0	11033.0	0.0	9.0	0.0	7054.0	10.0	0.0	0.0	0.0	0.0	919.0	0.0	0.0	1.0	0.0	0.0	0.0
GILSM.17	0.0	0.0	548.0	0.0	10768.0	0.0	0.0	0.0	6639.0	80.0	0.0	0.0	0.0	0.0	1952.0	7.0	0.0	0.0	0.0	6.0	0.0
GILSM.15	1.0	0.0	31.0	0.0	10417.0	0.0	0.0	0.0	9492.0	0.0	0.0	0.0	0.0	0.0	30.0	2.0	0.0	26.0	0.0	1.0	0.0
GILSM.2	0.0	0.0	2650.0	0.0	9134.0	0.0	5.0	0.0	6717.0	7.0	0.0	0.0	0.0	0.0	432.0	4.0	0.0	0.0	0.0	1051.0	0.0
GILSM.8	16.0	0.0	89.0	0.0	4090.0	0.0	18.0	0.0	14489.0	0.0	0.0	0.0	1.0	0.0	358.0	0.0	3.0	864.0	0.0	71.0	1.0
GILSM.12	17.0	0.0	1406.0	0.0	5235.0	0.0	4.0	0.0	8155.0	0.0	0.0	0.0	0.0	0.0	214.0	0.0	23.0	223.0	0.0	4723.0	0.0
GILSM.13	9.0	0.0	156.0	0.0	8193.0	0.0	3.0	0.0	10694.0	0.0	0.0	0.0	37.0	0.0	756.0	0.0	0.0	0.0	0.0	152.0	0.0
GILSM.6	0.0	0.0	380.0	0.0	13112.0	0.0	0.0	0.0	5259.0	0.0	0.0	0.0	0.0	0.0	1247.0	0.0	0.0	0.0	0.0	2.0	0.0
ERR2057177	0.0	0.0	250.0	0.0	4373.0	0.0	0.0	0.0	1983.0	0.0	0.0	0.0	0.0	0.0	13388.0	0.0	0.0	0.0	0.0	6.0	0.0
ERR2057227	0.0	0.0	595.0	0.0	12105.0	0.0	0.0	0.0	6951.0	0.0	0.0	0.0	0.0	0.0	339.0	0.0	0.0	0.0	0.0	10.0	0.0
ERR2057199	0.0	0.0	52.0	0.0	7890.0	0.0	5.0	0.0	11990.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR2057172	0.0	0.0	432.0	0.0	4154.0	0.0	6.0	0.0	14922.0	0.0	0.0	0.0	0.0	0.0	178.0	0.0	0.0	308.0	0.0	0.0	0.0
ERR2057210	0.0	0.0	34.0	0.0	6461.0	0.0	0.0	0.0	4188.0	0.0	0.0	0.0	3.0	0.0	9314.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR2057152	10.0	0.0	326.0	0.0	6235.0	0.0	0.0	0.0	13137.0	0.0	0.0	0.0	3.0	0.0	260.0	0.0	9.0	13.0	0.0	7.0	0.0
ERR2057181	0.0	0.0	16.0	0.0	5861.0	0.0	0.0	0.0	1168.0	0.0	0.0	0.0	0.0	0.0	12955.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR2057158	0.0	0.0	28.0	0.0	4652.0	0.0	2.0	0.0	4171.0	0.0	0.0	0.0	0.0	0.0	10229.0	0.0	0.0	1.0	0.0	917.0	0.0
ERR2057163	0.0	0.0	73.0	0.0	15369.0	0.0	0.0	0.0	4461.0	0.0	0.0	0.0	0.0	0.0	88.0	0.0	0.0	4.0	0.0	5.0	0.0
ERR2057228	0.0	0.0	652.0	0.0	3945.0	0.0	0.0	0.0	15054.0	0.0	0.0	0.0	0.0	0.0	322.0	0.0	0.0	0.0	0.0	27.0	0.0
ERR2057157	0.0	0.0	15.0	0.0	406.0	0.0	6.0	0.0	1501.0	0.0	0.0	0.0	0.0	0.0	18065.0	0.0	0.0	4.0	0.0	3.0	0.0
ERR2057165	0.0	0.0	30.0	0.0	6804.0	0.0	18.0	375.0	3767.0	0.0	0.0	0.0	0.0	0.0	9001.0	0.0	0.0	0.0	0.0	5.0	0.0
ERR2057197	0.0	0.0	30.0	0.0	17502.0	0.0	0.0	0.0	2074.0	0.0	0.0	0.0	0.0	0.0	393.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR1072651	2.0	0.0	33.0	0.0	4306.0	0.0	3.0	0.0	5202.0	6.0	0.0	0.0	0.0	0.0	7055.0	0.0	0.0	10.0	0.0	3383.0	0.0
GILSM.26	0.0	0.0	55.0	0.0	6796.0	0.0	0.0	0.0	11894.0	0.0	0.0	0.0	35.0	0.0	1176.0	0.0	0.0	44.0	0.0	0.0	0.0
GILSM.25	0.0	0.0	2318.0	0.0	7790.0	0.0	0.0	0.0	9786.0	0.0	0.0	0.0	10.0	0.0	94.0	2.0	0.0	0.0	0.0	0.0	0.0
GILSM.11	0.0	1.0	65.0	0.0	11831.0	0.0	0.0	0.0	7879.0	0.0	0.0	0.0	0.0	0.0	224.0	0.0	0.0	0.0	0.0	0.0	0.0
GILSM.19	0.0	0.0	883.0	0.0	8276.0	0.0	0.0	0.0	8854.0	0.0	0.0	0.0	0.0	0.0	1986.0	0.0	0.0	0.0	0.0	1.0	0.0
GILSM.4	0.0	0.0	46.0	0.0	11381.0	0.0	0.0	0.0	8424.0	0.0	0.0	0.0	0.0	0.0	149.0	0.0	0.0	0.0	0.0	0.0	0.0
